time,vehicle_id,longitude,latitude,angle,vehicle_type,speed_mps,position_on_lane,lane,slope
48.0,bike_002,77.624952,12.917681,88.98,motorcycle,10.14,193.40,1073384217#1_0,0.00
48.0,bike_003,77.623552,12.917544,75.88,motorcycle,13.43,40.42,1073384217#1_1,0.00
48.0,car_001,77.630175,12.916731,93.26,car,15.54,96.00,1534247766#0_0,0.00
48.0,car_002,77.628411,12.916893,104.34,car,14.13,581.63,1073384217#1_0,0.00
48.0,car_003,77.627733,12.917093,106.23,car,15.81,504.63,1073384217#1_0,0.00
48.0,car_004,77.626634,12.917416,105.03,car,16.34,379.87,1073384217#1_0,0.00
48.0,car_005,77.625572,12.917665,96.07,car,16.52,260.87,1073384217#1_0,0.00
48.0,car_006,77.624015,12.917623,80.16,car,13.78,91.47,1073384217#1_1,0.00
49.0,bike_001,77.628043,12.917032,106.23,motorcycle,15.20,539.70,1073384217#1_1,0.00
49.0,bike_002,77.625051,12.917681,89.89,motorcycle,10.78,204.18,1073384217#1_0,0.00
49.0,bike_003,77.623686,12.917571,80.16,motorcycle,14.80,55.23,1073384217#1_1,0.00
49.0,car_001,77.630321,12.916722,93.26,car,15.85,111.84,1534247766#0_0,0.00
49.0,car_002,77.628535,12.916864,103.14,car,13.87,595.50,1073384217#1_0,0.00
49.0,car_003,77.627878,12.917050,106.23,car,16.42,521.05,1073384217#1_0,0.00
49.0,car_004,77.626780,12.917376,105.03,car,16.48,396.35,1073384217#1_0,0.00
49.0,car_005,77.625723,12.917648,96.07,car,16.54,277.41,1073384217#1_0,0.00
49.0,car_006,77.624137,12.917643,80.16,car,13.36,104.84,1073384217#1_1,0.00
50.0,bike_001,77.628174,12.916993,106.23,motorcycle,14.92,554.62,1073384217#1_1,0.00
50.0,bike_002,77.625160,12.917680,89.89,motorcycle,11.79,215.97,1073384217#1_0,0.00
50.0,bike_003,77.623819,12.917592,80.16,motorcycle,14.73,69.96,1073384217#1_1,0.00
50.0,car_001,77.630468,12.916712,93.26,car,16.03,127.87,1534247766#0_0,0.00
50.0,car_002,77.628661,12.916844,94.28,car,13.87,609.37,1073384217#1_0,0.00
50.0,car_003,77.628017,12.917009,106.23,car,15.87,536.92,1073384217#1_0,0.00
50.0,car_004,77.626922,12.917334,106.23,car,16.16,412.51,1073384217#1_0,0.00
50.0,car_005,77.625871,12.917618,100.86,car,16.44,293.85,1073384217#1_0,0.00
50.0,car_006,77.624256,12.917662,80.16,car,13.13,117.97,1073384217#1_1,0.00
50.0,car_007,77.623225,12.917496,75.88,car,9.76,4.60,1073384217#1_2,0.00
51.0,bike_001,77.628321,12.916949,106.23,motorcycle,16.60,571.22,1073384217#1_1,0.00
51.0,bike_002,77.625249,12.917680,89.89,motorcycle,9.70,225.68,1073384217#1_0,0.00
51.0,bike_003,77.623946,12.917612,80.16,motorcycle,13.89,83.84,1073384217#1_1,0.00
51.0,car_001,77.630613,12.916703,92.98,car,15.76,2.54,:12683580002_3_0,0.00
51.0,car_002,77.628795,12.916833,94.28,car,14.62,623.99,1073384217#1_0,0.00
51.0,car_003,77.628157,12.916968,106.23,car,15.83,552.75,1073384217#1_0,0.00
51.0,car_004,77.627063,12.917292,106.23,car,15.93,428.44,1073384217#1_0,0.00
51.0,car_005,77.626011,12.917586,105.03,car,15.68,309.53,1073384217#1_0,0.00
51.0,car_006,77.624380,12.917682,80.16,car,13.65,131.62,1073384217#1_1,0.00
51.0,car_007,77.623330,12.917521,75.88,car,11.80,16.40,1073384217#1_2,0.00
52.0,bike_001,77.628465,12.916910,103.15,motorcycle,16.25,587.47,1073384217#1_1,0.00
52.0,bike_002,77.625357,12.917679,89.89,motorcycle,11.78,237.45,1073384217#1_0,0.00
52.0,bike_003,77.624078,12.917633,80.16,motorcycle,14.57,98.41,1073384217#1_1,0.00
52.0,car_001,77.630755,12.916695,92.21,car,15.39,8.44,1534247766#1_0,0.00
52.0,car_002,77.628923,12.916823,94.23,car,13.97,637.97,1073384217#1_0,0.00
52.0,car_003,77.628295,12.916926,106.23,car,15.72,568.47,1073384217#1_0,0.00
52.0,car_004,77.627207,12.917249,106.23,car,16.39,444.82,1073384217#1_0,0.00
52.0,car_005,77.626152,12.917548,105.03,car,15.94,325.47,1073384217#1_0,0.00
52.0,car_006,77.624495,12.917690,85.09,car,12.56,144.17,1073384217#1_1,0.00
52.0,car_007,77.623441,12.917547,75.88,car,12.30,28.70,1073384217#1_2,0.00
53.0,bike_001,77.628600,12.916878,101.91,motorcycle,15.06,602.53,1073384217#1_1,0.00
53.0,bike_002,77.625455,12.917678,89.89,motorcycle,10.69,248.14,1073384217#1_0,0.00
53.0,bike_003,77.624204,12.917654,80.16,motorcycle,13.89,112.30,1073384217#1_1,0.00
53.0,car_001,77.630908,12.916688,92.21,car,16.67,25.10,1534247766#1_0,0.00
53.0,car_002,77.629054,12.916812,94.23,car,14.34,652.30,1073384217#1_0,0.00
