timestamp,vehicle_id,vehicle_type,x,y,speed,acceleration,lane,road,network_vehicle_count,neighbor_count,neighbor_distance,relative_speed,in_rsu_range,application_type,application_priority,channel_id,channel_name,channel_utilization,interference_dbm,sinr_db,throughput_mbps,latency_ms,packet_delivery_ratio
23.0,1,car,3820.6,7189.99,10.29,2.2,-1196120496#1_0,-1196120496#1,8,0,496.44,4.0,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.125,-150.0,-47.16,0.014,277.51,0.0
23.0,2,car,4420.9,13391.11,7.8,0.14,464465173#1_1,464465173#1,8,0,5433.03,4.41,0,infotainment,5,3,CH3_5.90GHz_V2I,0.25,-150.0,-41.58,0.003,13864.59,0.0
23.0,3,car,3336.6,7079.57,6.29,0.16,237089974#0_0,237089974#0,8,0,496.44,4.0,0,autonomous_driving,4,1,CH1_5.86GHz_V2V,0.125,-150.0,-24.12,0.056,215.64,0.0
23.0,4,motorcycle,1834.19,8613.37,12.21,-0.19,:3870459134_0_0,:3870459134_0,8,1,181.58,3.25,0,safety,1,4,CH4_5.92GHz_AUTON,0.125,-150.0,-10.64,2.389,1.24,0.0118
23.0,5,car,4289.24,6860.55,13.89,1.95,-133944946#0_0,-133944946#0,8,0,572.85,3.6,0,safety,1,3,CH3_5.90GHz_V2I,0.25,-150.0,-17.62,0.495,5.79,0.001
23.0,6,bus,5652.0,8009.88,3.32,-0.36,:306622887_11_0,:306622887_11,8,0,1782.72,10.57,0,infotainment,5,6,CH6_140GHz_6G_THz,0.25,-150.0,-60.0,0.058,694.13,0.0
23.0,7,car,2179.81,6495.42,13.12,-0.77,-262859971_0,-262859971,8,0,1295.91,6.83,0,safety,1,6,CH6_140GHz_6G_THz,0.25,-150.0,-60.0,0.058,42.53,0.0
24.0,0,car,1663.16,8619.96,10.68,1.72,:1607769911_6_0,:1607769911_6,8,1,165.51,0.55,0,cooperative_awareness,3,3,CH3_5.90GHz_V2I,0.25,-133.01,-12.5,1.577,3.47,0.0062
24.0,1,car,3820.79,7201.18,11.2,0.9,-1196120496#1_0,-1196120496#1,8,0,493.1,5.07,0,safety,1,1,CH1_5.86GHz_V2V,0.25,-150.0,-30.83,0.012,202.63,0.0
24.0,2,car,4420.5,13398.64,7.54,-0.26,464465173#1_1,464465173#1,8,0,5434.64,2.59,0,cooperative_awareness,3,1,CH1_5.86GHz_V2V,0.25,-150.0,-58.72,0.001,2773.68,0.0
24.0,3,car,3342.5,7081.25,6.13,-0.16,237089974#0_0,237089974#0,8,0,493.1,5.07,0,safety,1,3,CH3_5.90GHz_V2I,0.25,-133.03,-26.62,0.063,39.16,0.0
24.0,4,motorcycle,1828.66,8621.86,10.13,-2.08,-1322924310#0_0,-1322924310#0,8,1,165.51,0.55,0,safety,1,5,CH5_28GHz_mmWave,0.25,-147.68,-28.66,0.196,13.18,0.0
24.0,5,car,4289.83,6870.07,9.54,-4.36,-133944946#0_0,-133944946#0,8,0,574.14,1.66,0,cooperative_awareness,3,4,CH4_5.92GHz_AUTON,0.25,-136.09,-24.77,0.096,42.59,0.0001
24.0,6,bus,5652.68,8013.06,3.4,0.08,-156678397#2_0,-156678397#2,8,0,1778.7,6.14,0,safety,1,4,CH4_5.92GHz_AUTON,0.25,-143.83,-37.65,0.005,484.72,0.0
24.0,7,car,2176.14,6481.8,14.1,0.99,-262859971_0,-262859971,8,0,1311.39,7.97,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.25,-141.26,-55.73,0.014,278.21,0.0
25.0,0,car,1675.42,8616.61,12.71,2.03,147561889#1_0,147561889#1,9,1,149.6,5.23,0,infotainment,5,2,CH2_5.88GHz_EMERG,0.444,-105.99,28.34,94.149,3.39,0.9999
25.0,1,car,3820.97,7211.2,10.02,-1.17,-1196120496#1_0,-1196120496#1,9,0,489.66,3.8,0,infotainment,5,4,CH4_5.92GHz_AUTON,0.111,-150.0,-24.58,0.1,399.27,0.0001
25.0,2,car,4420.11,13406.24,7.61,0.07,464465173#1_1,464465173#1,9,0,5197.41,6.28,0,safety,1,2,CH2_5.88GHz_EMERG,0.444,-149.36,-60.0,0.001,1666.62,0.0
25.0,3,car,3348.24,7083.55,6.22,0.09,:2450399435_10_0,:2450399435_10,9,0,489.66,3.8,0,cooperative_awareness,3,3,CH3_5.90GHz_V2I,0.111,-150.0,-19.01,0.36,11.29,0.0006
25.0,4,motorcycle,1824.58,8628.13,7.48,-2.65,-1322924310#0_0,-1322924310#0,9,1,149.6,5.23,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.444,-107.79,22.6,75.161,3.02,0.9993
25.0,5,car,4290.15,6875.19,5.14,-4.4,-133944946#0_0,-133944946#0,9,0,577.09,4.88,0,safety,1,6,CH6_140GHz_6G_THz,0.222,-150.0,-60.0,0.058,42.33,0.0
25.0,6,bus,5652.5,8017.37,4.31,0.91,-156678397#2_0,-156678397#2,9,0,1777.8,0.83,0,safety,1,2,CH2_5.88GHz_EMERG,0.444,-140.72,-31.85,0.009,257.53,0.0
25.0,7,car,2172.47,6468.13,14.16,0.05,-262859971_0,-262859971,9,0,1327.09,7.94,0,infotainment,5,5,CH5_28GHz_mmWave,0.111,-150.0,-50.86,0.014,2772.92,0.0
25.0,8,car,3624.84,8270.03,13.89,0.0,31281091#8_0,31281091#8,9,0,1076.84,3.87,0,autonomous_driving,4,6,CH6_140GHz_6G_THz,0.222,-150.0,-60.0,0.058,208.7,0.0
26.0,0,car,1687.6,8613.27,12.63,-0.08,:1607769900_6_0,:1607769900_6,9,1,135.54,6.8,0,safety,1,3,CH3_5.90GHz_V2I,0.222,-94.26,20.86,138.827,0.76,0.9986
26.0,1,car,3821.1,7217.67,6.47,-3.56,-1196120496#1_0,-1196120496#1,9,0,487.44,0.54,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.222,-141.31,-38.13,0.022,180.95,0.0
26.0,2,car,4419.75,13413.06,6.83,-0.78,464465173#1_1,464465173#1,9,0,5219.12,8.64,0,autonomous_driving,4,1,CH1_5.86GHz_V2V,0.111,-150.0,-60.0,0.001,8318.38,0.0
26.0,3,car,3351.07,7088.56,5.93,-0.29,:2450399435_10_0,:2450399435_10,9,0,487.44,0.54,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.222,-131.36,-28.96,0.018,218.94,0.0
