timestamp,vehicle_id,vehicle_type,x,y,speed,acceleration,lane,road,heading,distance,waiting_time,network_vehicle_count,network_avg_speed,network_avg_waiting_time,edge_vehicle_count,edge_queue_length
29.0,2,car,4418.58,13435.47,7.96,0.78,464465173#1_1,464465173#1,357.02,163.82,0.0,10,8.13,0.0,1,0
29.0,3,car,3346.78,7106.3,6.43,0.35,237089972#2_0,237089972#2,344.2,170.71,0.0,10,8.13,0.0,1,0
29.0,4,motorcycle,1834.12,8645.09,8.17,2.85,147561889#7_0,147561889#7,57.66,127.56,0.0,10,8.13,0.0,1,0
29.0,5,car,4268.26,6887.43,9.84,2.54,640876756#5_0,640876756#5,270.17,111.17,0.0,10,8.13,0.0,1,0
29.0,6,bus,5651.38,8043.82,7.52,0.23,-156678397#2_0,-156678397#2,357.59,59.07,0.0,10,8.13,0.0,1,0
29.0,7,car,2158.47,6416.09,13.21,-0.79,-262859971_0,-262859971,195.06,95.28,0.0,10,8.13,0.0,1,0
29.0,8,car,3607.7,8229.22,5.33,-4.5,31281091#8_0,31281091#8,202.78,44.25,0.0,10,8.13,0.0,1,0
29.0,9,car,3863.76,12190.91,2.31,-0.14,31231520#3_0,31231520#3,340.54,2.31,0.0,10,8.13,0.0,1,0
30.0,0,car,1734.11,8600.7,11.9,-0.01,:1607769870_6_0,:1607769870_6,104.21,389.04,0.0,10,7.52,0.0,1,0
30.0,1,car,3847.0,7225.64,10.79,2.17,-794634830#4_0,-794634830#4,90.95,292.97,0.0,10,7.52,0.0,1,0
30.0,2,car,4418.21,13442.74,7.27,-0.69,464465173#1_1,464465173#1,357.02,171.09,0.0,10,7.52,0.0,1,0
30.0,3,car,3345.27,7111.65,5.56,-0.87,237089972#2_0,237089972#2,344.2,176.27,0.0,10,7.52,0.0,1,0
30.0,4,motorcycle,1842.95,8650.68,10.45,2.28,147561889#7_0,147561889#7,57.66,138.01,0.0,10,7.52,0.0,1,0
30.0,5,car,4256.55,6887.46,11.71,1.87,640876756#5_0,640876756#5,270.17,122.88,0.0,10,7.52,0.0,1,0
30.0,6,bus,5650.8,8047.79,4.02,-3.5,:266316218_6_0,:266316218_6,355.58,63.09,0.0,10,7.52,0.0,1,0
30.0,7,car,2156.08,6407.2,9.21,-4.01,-262859971_0,-262859971,195.06,104.48,0.0,10,7.52,0.0,1,0
30.0,8,car,3609.05,8227.15,2.84,-2.49,:10153868987_10_0,:10153868987_10,168.8,47.1,0.0,10,7.52,0.0,1,0
30.0,9,car,3863.29,12192.23,1.41,-0.91,31231520#3_0,31231520#3,340.54,3.72,0.0,10,7.52,0.0,1,0
31.0,0,car,1746.81,8597.62,13.07,1.17,147561889#3_0,147561889#3,103.1,402.11,0.0,11,7.59,0.0,1,0
31.0,1,car,3859.95,7225.43,12.95,2.17,-794634830#4_0,-794634830#4,90.95,305.92,0.0,11,7.59,0.0,1,0
31.0,10,car,7786.52,8925.25,4.7,0.0,-36962042#4_0,-36962042#4,266.5,0.0,0.0,11,7.59,0.0,1,0
31.0,2,car,4417.58,13449.62,6.91,-0.36,:cluster_3726063804_736014390_3_0,:cluster_3726063804_736014390_3,353.62,178.01,0.0,11,7.59,0.0,1,0
31.0,3,car,3344.15,7116.51,5.0,-0.55,:2450399406_4_0,:2450399406_4,347.37,181.27,0.0,11,7.59,0.0,1,0
31.0,4,motorcycle,1852.98,8656.8,11.75,1.3,:1837005168_7_0,:1837005168_7,58.81,149.76,0.0,11,7.59,0.0,1,0
31.0,5,car,4242.72,6887.5,13.83,2.12,640876756#5_0,640876756#5,270.16,136.71,0.0,11,7.59,0.0,1,0
31.0,6,bus,5647.93,8051.87,5.18,1.16,:266316218_16_0,:266316218_16,341.8,68.27,0.0,11,7.59,0.0,1,0
31.0,7,car,2154.66,6401.92,5.46,-3.75,-262859971_0,-262859971,195.06,109.94,0.0,11,7.59,0.0,1,0
31.0,8,car,3611.26,8229.43,3.41,0.57,-31281091#8_0,-31281091#8,58.96,50.51,0.0,11,7.59,0.0,1,0
31.0,9,car,3862.87,12193.42,1.26,-0.15,31231520#3_0,31231520#3,340.54,4.98,0.0,11,7.59,0.0,1,0
32.0,0,car,1757.94,8597.51,11.89,-1.18,147561889#3_0,147561889#3,68.36,414.0,0.0,11,7.47,0.0,1,0
32.0,1,car,3874.4,7225.19,14.45,1.49,:266272840_6_0,:266272840_6,90.95,320.37,0.0,11,7.47,0.0,1,0
32.0,10,car,7783.12,8925.04,3.41,-1.29,-36962042#4_0,-36962042#4,266.5,3.41,0.0,11,7.47,0.0,1,0
